Kraj: Zlínský kraj

Okrsky celkem,Voliči v seznamu,Vydané obálky,Volební účast v %,Odevzdané obálky,Platné hlasy,% platných hlasů
685,477 700,296 748,"62,12",296 513,294 679,"99,38"

Strana číslo,Strana název,Platné hlasy celkem,Platné hlasy v %
1,Obcanska demokraticka strana,28 752,"9,75"
2,Rad naroda - Vlastenecka unie,615,"0,20"
3,CESTA ODPOVEDNE SPOLECNOSTI,195,"0,06"
4,Ceska str.socialne demokrat.,20 454,"6,94"
6,Radostne Cesko,220,"0,07"
7,STAROSTOVE A NEZAVISLI,17 168,"5,82"
8,Komunisticka str.Cech a Moravy,20 669,"7,01"
9,Strana zelenych,3 685,"1,25"
10,"ROZUMNI-stop migraci,diktat.EU",1 747,"0,59"
12,Strana svobodnych obcanu,4 812,"1,63"
13,Blok proti islam.-Obran.domova,299,"0,10"
14,Obcanska demokraticka aliance,393,"0,13"
15,Ceska piratska strana,24 859,"8,43"
19,Referendum o Evropske unii,245,"0,08"
20,TOP 09,8 443,"2,86"
21,ANO 2011,84 750,"28,76"
22,Dobra volba 2016,184,"0,06"
23,SPR-Republ.str.Csl. M.Sladka,477,"0,16"
24,Krest.demokr.unie-Cs.str.lid.,33 631,"11,41"
26,REALISTE,2 138,"0,72"
27,SPORTOVCI,537,"0,18"
28,Delnic.str.socialni spravedl.,417,"0,14"
29,Svob.a pr.dem.-T.Okamura (SPD),38 020,"12,90"
30,Strana Prav Obcanu,1 969,"0,66"
